id_jugador,nombre,anio,camiseta,posicion,jugo,jugo_titular,capitan,no_jugo,goles,prom_goles,tarjeta_amarilla,tarjeta_roja,pg,pe,pp,pos_final
4590,Mathias Kaburek,1934,-,Delantero,0,0,0,4,0,0.0,0,0,0,0,0,4
4591,Christian Keglevits,1990,15,Delantero,0,0,0,3,0,0.0,0,0,0,0,0,18
4592,Wolfgang Knaller,1998,21,Arquero,0,0,0,3,0,0.0,0,0,0,0,0,23
4593,Alfred Koerner,1954,11,Delantero,4,4,0,1,0,0.0,0,0,3,0,1,3
4593,Alfred Koerner,1958,10,Delantero,3,3,0,0,1,0.33,0,0,0,1,2,15
4595,Walter Kogler,1998,6,Defensor,0,0,0,3,0,0.0,0,0,0,0,0,23
4596,Karl Koller,1954,6,Mediocampista,5,5,0,0,0,0.0,0,0,4,0,1,3
4596,Karl Koller,1958,6,Mediocampista,3,3,0,0,1,0.33,0,0,0,1,2,15
4597,Walter Kollmann,1954,13,Defensor,1,1,0,4,0,0.0,0,0,1,0,0,3
4597,Walter Kollmann,1958,15,Defensor,1,1,0,2,0,0.0,0,0,0,1,0,15
4598,Friedl Koncilia,1978,1,Arquero,6,6,0,0,0,0.0,0,0,3,0,3,7
4598,Friedl Koncilia,1982,1,Arquero,5,5,0,0,0,0.0,0,0,2,1,2,8
4599,Otto Konrad,1990,22,Arquero,0,0,0,3,0,0.0,0,0,0,0,0,18
4600,Michael Konsel,1990,21,Arquero,0,0,0,3,0,0.0,0,0,0,0,0,18
4600,Michael Konsel,1998,1,Arquero,3,3,0,0,0,0.0,0,0,0,2,1,23
4601,Ernst Kozlicek,1958,17,Mediocampista,2,2,0,1,0,0.0,0,0,0,1,1,15
4602,Paul Kozlicek,1958,8,Delantero,2,2,0,1,0,0.0,0,0,0,1,1,15
4603,Hans Krankl,1978,9,Delantero,6,6,0,0,4,0.67,0,0,3,0,3,7
4603,Hans Krankl,1982,9,Delantero,4,4,0,1,1,0.25,0,0,2,0,2,8
4604,Bernd Krauss,1982,2,Defensor,5,5,0,0,0,0.0,0,0,2,1,2,8
4605,Wilhelm Kreuz,1978,10,Mediocampista,6,6,0,0,0,0.0,0,0,3,0,3,7
4606,Eduard Krieger,1978,12,Mediocampista,5,5,0,1,0,0.0,0,0,2,0,3,7
4607,Dietmar Kuehbauer,1998,22,Mediocampista,3,3,0,0,0,0.0,0,0,0,2,1,23
4608,Klaus Lindenberger,1982,22,Arquero,0,0,0,5,0,0.0,0,0,0,0,0,8
4608,Klaus Lindenberger,1990,1,Arquero,3,3,0,0,0,0.0,1,0,1,0,2,18
4609,Manfred Linzmaier,1990,10,Mediocampista,1,1,0,2,0,0.0,0,0,0,0,1,18
4610,Roman Mahlich,1998,17,Mediocampista,3,3,0,0,0,0.0,0,0,0,2,1,23
4611,Gerald Messlender,1982,16,Defensor,0,0,0,5,0,0.0,0,0,0,0,0,8
4612,Herbert Ninaus,1958,20,Delantero,0,0,0,3,0,0.0,0,0,0,0,0,15
4613,Franz Oberacher,1978,17,Delantero,1,0,0,5,0,0.0,0,0,1,0,0,7
4614,Erich Obermayer,1978,3,Defensor,6,6,0,0,1,0.17,0,0,3,0,3,7
4614,Erich Obermayer,1982,3,Defensor,5,5,5,0,0,0.0,1,0,2,1,2,8
4615,Ernst Ocwirk,1954,5,Mediocampista,5,5,4,0,2,0.4,0,0,4,0,1,3
4616,Andeas Ogris,1990,13,Delantero,3,2,0,0,1,0.33,0,0,1,0,2,18
4617,Robert Pecl,1990,3,Defensor,3,3,0,0,0,0.0,2,0,1,0,2,18
4618,Franz Pelikan,1954,15,Arquero,0,0,0,5,0,0.0,0,0,0,0,0,3
4619,Peter Persidis,1978,16,Defensor,0,0,0,6,0,0.0,0,0,0,0,0,7
4620,Bruno Pezzey,1978,5,Defensor,6,6,0,0,0,0.0,0,0,3,0,3,7
4620,Bruno Pezzey,1982,5,Defensor,5,5,0,0,1,0.2,0,0,2,1,2,8
4621,Anton Pfeffer,1990,4,Defensor,2,2,0,1,0,0.0,1,0,1,0,1,18
