jugador,seleccion_nacionalidad,mundial,camiseta,posicion,jugo,jugo_titular,capitan,no_jugo,goles,prom_goles,tarjeta_amarilla,tarjeta_roja,pg,pe,pp,pos_final
Saber Khalifa,Túnez,2018,19,Delantero,1,0,0,2,0,0.00,0,0,0,0,1,24
Sabri Jaballah,Túnez,1998,20,Defensor,0,0,0,3,0,0.00,0,0,0,0,0,26
Saddam Karim,Iraq,1986,9,Delantero,2,2,0,1,0,0.00,1,0,0,0,2,23
Sadegh Moharrami,Irán,2022,2,Defensor,1,1,0,2,0,0.00,0,0,0,0,1,26
Sadio Mané,Senegal,2018,10,Delantero,3,3,2,0,1,0.33,0,0,1,1,1,17
Sadouk Sassi,Túnez,1978,1,Arquero,0,0,0,3,0,0.00,0,0,0,0,0,9
Saeid Ezatolahi,Irán,2018,6,Mediocampista,2,2,0,1,0,0.00,0,0,0,1,1,18
Saeid Ezatolahi,Irán,2022,6,Mediocampista,3,2,0,0,0,0.00,0,0,1,0,2,26
Safet Susic,Yugoslavia,1982,13,Delantero,3,3,0,0,0,0.00,0,0,1,1,1,16
Safet Susic,Yugoslavia,1990,8,Mediocampista,5,5,0,0,1,0.20,0,0,3,1,1,5
Said Al Owayran,Arabia Saudita,1994,10,Delantero,4,4,0,0,1,0.25,0,0,2,0,2,12
Said Al Owayran,Arabia Saudita,1998,10,Delantero,2,2,0,1,0,0.00,0,0,0,0,2,28
Said Chiba,Marruecos,1998,8,Mediocampista,2,2,0,1,0,0.00,2,0,0,1,1,18
Said Dghay,Marruecos,1994,12,Arquero,0,0,0,3,0,0.00,0,0,0,0,0,23
Said Hussein,Iraq,1986,10,Delantero,1,1,0,2,0,0.00,0,0,0,0,1,23
Saîf-Eddine Khaoui,Túnez,2018,7,Delantero,1,1,0,2,0,0.00,0,0,0,0,1,24
Salah Assad,Argelia,1982,7,Delantero,3,3,0,0,2,0.67,0,0,2,0,1,13
Salah Assad,Argelia,1986,7,Delantero,2,2,0,1,0,0.00,0,0,0,1,1,22
Salah Karoui,Túnez,1978,14,Delantero,1,0,0,2,0,0.00,0,0,1,0,0,9
Salah Larbes,Argelia,1982,12,Defensor,2,1,0,1,0,0.00,0,0,2,0,0,13
Salaheddine Bassir,Marruecos,1998,14,Delantero,3,3,0,0,2,0.67,0,0,1,1,1,18
Salaheddine Hmied,Marruecos,1986,12,Arquero,0,0,0,4,0,0.00,0,0,0,0,0,11
Saleh Al Dawood,Arabia Saudita,1994,15,Defensor,0,0,0,4,0,0.00,0,0,0,0,0,12
Saleh Al-Shehri,Arabia Saudita,2022,11,Delantero,3,3,0,0,1,0.33,1,0,1,0,2,25
Salem Al-Dawsari,Arabia Saudita,2018,18,Mediocampista,3,3,0,0,1,0.33,0,0,1,0,2,26
