jugador,seleccion_nacionalidad,altura,fecha_nac,posicion,num_camiseta,mundiales
Ahmed Al Tarabulsi,Kuwait,,22 de marzo de 1947,Arquero,1,1982
Ahmed Alaaeldin,Catar,1.76 m,31 de enero de 1993,Delantero,7,2022
Ahmed Alaoui,Marruecos,,1 de enero de 1949,Delantero,17,1970
Ahmed Bahja,Marruecos,,21 de diciembre de 1970,Delantero,13,1994
Ahmed El Kass,Egipto,,8 de julio de 1965,Delantero,20,1990
Ahmed Elmohamady,Egipto,1.82 m,9 de septiembre de 1987,Defensor,3,2018
Ahmed Faras,Marruecos,,1 de enero de 1946,Delantero,9,1970
Ahmed Fathy,Egipto,1.75 m,10 de noviembre de 1984,Defensor,7,2018
Ahmed Hegazi,Egipto,1.93 m,25 de enero de 1991,Defensor,6,2018
Ahmed Issah,Ghana,1.85 m,24 de mayo de 1982,Defensor,21,2006
Ahmed Jaouachi,Túnez,1.79 m,13 de julio de 1975,Arquero,22,2002
Ahmed Jassim,Iraq,,4 de mayo de 1960,Arquero,21,1986
Ahmed Khalil,Túnez,1.78 m,8 de junio de 1991,Mediocampista,15,2018
Ahmed Madani,Arabia Saudita,,6 de enero de 1970,Defensor,5,"1994, 1998"
Ahmed Masbahi,Marruecos,,17 de enero de 1966,Defensor,14,1994
Ahmed Musa,Nigeria,1.70 m,14 de octubre de 1992,Delantero,7,"2014, 2018"
Ahmed Radhi,Iraq,,21 de marzo de 1964,Delantero,8,1986
Ahmed Ramzy,Egipto,,25 de octubre de 1965,Delantero,13,1990
Ahmed Reda Tagnaouti,Marruecos,1.86 m,5 de abril de 1996,Arquero,22,"2018, 2022"
Ahmed Shoubeir,Egipto,,28 de septiembre de 1961,Arquero,1,1990
Aissa Laidouni,Túnez,1.83 m,13 de diciembre de 1996,Mediocampista,14,2022
Aissa Mandi,Argelia,1.86 m,22 de octubre de 1991,Defensor,20,2014
Ajdin Hrustic,Australia,1.80 m,5 de julio de 1996,Mediocampista,10,2022
Ake Andersson,Suecia,,22 de abril de 1917,Delantero,-,1938
Ake Johansson,Suecia,,19 de marzo de 1928,Defensor,5,1958
Akhrik Tsveiba,URSS,,10 de septiembre de 1966,Defensor,13,1990
Akinori Nishizawa,Japón,1.80 m,18 de junio de 1976,Delantero,9,2002
Akira Kaji,Japón,1.77 m,13 de enero de 1980,Defensor,21,2006
Akira Narahashi,Japón,1.70 m,26 de noviembre de 1971,Defensor,2,1998
Akram Afif,Catar,1.76 m,18 de noviembre de 1996,Delantero,11,2022
Akwa,Angola,1.80 m,30 de mayo de 1977,Delantero,10,2006
Al Harker,Estados Unidos,,11 de abril de 1910,Defensor,-,1934
Al Hasan Al Yami,Arabia Saudita,1.73 m,21 de agosto de 1972,Delantero,20,2002
Al Roubai Ghanim,Iraq,,16 de agosto de 1961,Defensor,22,1986
Alaa Mayhoub,Egipto,,9 de enero de 1962,Mediocampista,14,1990
Alaeddine Yahia,Túnez,1.86 m,26 de septiembre de 1981,Defensor,4,2006
