id_jugador,nombre,anio,camiseta,posicion,jugo,jugo_titular,capitan,no_jugo,goles,prom_goles,tarjeta_amarilla,tarjeta_roja,pg,pe,pp,pos_final
7379,Danny Vukovic,2022,18,Arquero,0,0,0,4,0,0.0,0,0,0,0,0,11
2568,Danny Ward,2022,12,Arquero,2,1,0,1,0,0.0,0,0,0,0,2,30
1424,Danny Welbeck,2014,11,Delantero,2,2,0,1,0,0.0,0,0,0,0,2,26
1424,Danny Welbeck,2018,14,Delantero,1,0,0,6,0,0.0,0,0,0,0,1,4
1589,Dante,2014,13,Defensor,1,1,0,6,0,0.0,1,0,0,0,1,4
4386,Dante Lopez,2006,20,Delantero,1,0,0,2,0,0.0,0,0,0,0,1,18
1905,Danut Lupu,1990,11,Mediocampista,2,0,0,2,0,0.0,1,0,0,2,0,12
955,Dany Nounkeu,2014,5,Defensor,2,0,0,1,0,0.0,1,0,0,0,2,32
6742,Dany Verlinden,1994,20,Arquero,0,0,0,4,0,0.0,0,0,0,0,0,11
6742,Dany Verlinden,1998,13,Arquero,0,0,0,3,0,0.0,0,0,0,0,0,19
6916,Dare Nibombe,2006,2,Defensor,3,3,0,0,0,0.0,0,0,0,0,3,30
1148,Darijo Srna,2006,2,Mediocampista,3,3,0,0,1,0.33,1,0,0,2,1,22
1148,Darijo Srna,2014,11,Defensor,3,3,3,0,0,0.0,0,0,1,0,2,19
1590,Dario,1970,20,Delantero,0,0,0,6,0,0.0,0,0,0,0,0,1
4381,Dario Jara Saguier,1950,-,Delantero,2,2,0,0,0,0.0,0,0,0,1,1,11
5979,Dario Rodriguez,2002,6,Defensor,3,3,0,0,1,0.33,1,0,0,2,1,26
4735,Dario Rojas,1994,12,Arquero,0,0,0,3,0,0.0,0,0,0,0,0,21
4423,Dario Segovia,1958,14,Defensor,0,0,0,3,0,0.0,0,0,0,0,0,12
5998,Dario Silva,2002,9,Delantero,3,3,0,0,0,0.0,1,0,0,2,1,26
1144,Dario Simic,1998,20,Defensor,6,6,0,1,0,0.0,3,0,4,0,2,3
1144,Dario Simic,2002,20,Defensor,2,1,0,1,0,0.0,0,0,1,0,1,23
1144,Dario Simic,2006,7,Defensor,3,3,0,0,0,0.0,0,1,0,2,1,22
5436,Dario Veron,2010,2,Defensor,1,1,0,4,0,0.0,0,0,0,0,1,8
7377,Dario Vidosic,2010,22,Mediocampista,0,0,0,3,0,0.0,0,0,0,0,0,21
7377,Dario Vidosic,2014,20,Mediocampista,0,0,0,3,0,0.0,0,0,0,0,0,30
1416,Darius Vassell,2002,20,Delantero,3,1,0,2,0,0.0,0,0,0,2,1,6
3052,Dariusz Dudka,2006,17,Defensor,1,0,0,2,0,0.0,0,0,0,0,1,21
3054,Dariusz Dziekanowski,1986,21,Mediocampista,4,4,0,0,0,0.0,2,0,1,1,2,14
3103,Dariusz Kubicki,1986,14,Defensor,1,1,0,3,0,0.0,0,0,0,1,0,14
3623,Darko Kovacevic,1998,22,Delantero,2,1,0,2,0,0.0,0,0,1,1,0,10
3635,Darko Lazovic,2022,22,Mediocampista,1,0,0,2,0,0.0,0,0,0,0,1,29
3685,Darko Pancev,1990,9,Delantero,3,2,0,2,2,0.67,1,0,3,0,0,5
1198,Darren Anderton,1998,14,Mediocampista,4,4,0,0,1,0.25,0,0,2,1,1,9
2349,Darren Jackson,1998,10,Delantero,2,2,0,1,0,0.0,2,0,0,1,1,27
7275,Darryl Powell,1998,20,Mediocampista,2,1,0,1,0,0.0,0,1,0,0,2,22
5941,Darwin Núñez,2022,11,Delantero,3,3,0,0,0,0.0,1,0,1,1,1,20
6421,Daryl Janmaat,2014,7,Defensor,5,3,0,2,0,0.0,0,0,4,1,0,3
1214,Dave Beasant,1990,22,Arquero,0,0,0,7,0,0.0,0,0,0,0,0,4
2533,Dave Bowen,1958,6,Mediocampista,5,5,5,0,0,0.0,0,0,1,3,1,5
5109,Dave Bright,1982,5,Defensor,0,0,0,3,0,0.0,0,0,0,0,0,23
7315,Dave Harding,1974,17,Mediocampista,0,0,0,3,0,0.0,0,0,0,0,0,14
2365,Dave Mackay,1958,11,Mediocampista,1,1,0,2,0,0.0,0,0,0,0,1,14
5129,Dave Mulligan,2010,17,Mediocampista,0,0,0,3,0,0.0,0,0,0,0,0,22
5801,David Acevedo,1958,15,Defensor,0,0,0,3,0,0.0,0,0,0,0,0,13
4851,David Albelda,2002,14,Mediocampista,2,1,0,3,0,0.0,0,0,1,1,0,5
4851,David Albelda,2006,6,Mediocampista,2,1,0,2,0,0.0,1,0,2,0,0,9
1212,David Batty,1998,8,Mediocampista,4,2,0,0,0,0.0,0,0,2,1,1,9
1215,David Beckham,1998,7,Mediocampista,3,2,0,1,1,0.33,0,1,1,1,1,9
1215,David Beckham,2002,7,Mediocampista,5,5,5,0,1,0.2,0,0,2,2,1,6
1215,David Beckham,2006,7,Mediocampista,5,5,5,0,1,0.2,0,0,3,2,0,7
195,David Bueso,1982,11,Mediocampista,0,0,0,3,0,0.0,0,0,0,0,0,18
5826,David Cabrera,1970,15,Delantero,0,0,0,3,0,0.0,0,0,0,0,0,16
2230,David Campbell,1986,21,Mediocampista,1,1,0,2,0,0.0,0,0,0,0,1,21
7296,David Carney,2010,21,Defensor,2,2,0,1,0,0.0,0,0,1,1,0,21
7448,David Connolly,2002,13,Delantero,1,0,0,3,0,0.0,0,0,0,1,0,12
8417,David Cooper,1986,21,Delantero,2,0,0,1,0,0.0,0,0,0,1,1,19
4906,David de Gea,2014,12,Arquero,0,0,0,3,0,0.0,0,0,0,0,0,23
4906,David de Gea,2018,1,Arquero,4,4,0,0,0,0.0,0,0,1,3,0,10
8071,David Degen,2006,14,Delantero,0,0,0,4,0,0.0,0,0,0,0,0,10
888,David Embe,1994,19,Delantero,3,3,0,0,1,0.33,0,0,0,1,2,22
2008,David Guzmán,2018,20,Mediocampista,3,3,0,0,0,0.0,1,0,0,1,2,29
2341,David Harvey,1974,1,Arquero,3,3,0,0,0,0.0,0,0,1,2,0,9
1307,David James,2002,22,Arquero,0,0,0,5,0,0.0,0,0,0,0,0,6
1307,David James,2006,13,Arquero,0,0,0,5,0,0.0,0,0,0,0,0,7
1307,David James,2010,1,Arquero,3,3,0,1,0,0.0,0,0,1,1,1,13
486,David Jarolim,2006,14,Mediocampista,1,0,0,2,0,0.0,0,0,0,0,1,20
7212,David Jemmali,2006,18,Defensor,1,1,0,2,0,0.0,0,0,0,1,0,24
995,David Karako,1970,20,Defensor,0,0,0,3,0,0.0,0,0,0,0,0,12
7463,David Kelly,1990,19,Delantero,0,0,0,5,0,0.0,0,0,0,0,0,8
7463,David Kelly,1994,20,Delantero,1,0,0,3,0,0.0,0,0,0,1,0,16
1591,David Luiz,2014,4,Defensor,7,7,1,0,2,0.29,0,0,3,2,2,4
2254,David Mccreery,1982,4,Mediocampista,5,5,0,0,0,0.0,0,0,1,3,1,9
2254,David Mccreery,1986,6,Mediocampista,3,3,0,0,0,0.0,0,0,0,1,2,21
