id_goleador,anio,id_seleccion,id_jugador,goles,partidos,promedio
521,1978,34,4905,1,1,1.0
522,1978,64,3048,1,6,0.17
523,1978,78,7187,1,3,0.33
524,1978,78,7197,1,3,0.33
525,1978,87,6140,1,3,0.33
526,1978,6,5283,1,6,0.17
527,1978,31,2356,1,3,0.33
528,1978,78,7213,1,3,0.33
529,1978,36,3959,1,2,0.5
530,1978,36,3977,1,2,0.5
531,1978,87,6224,1,4,0.25
532,1978,60,6451,1,4,0.25
533,1978,8,4614,1,6,0.17
534,1978,6,5350,1,7,0.14
535,1978,36,4012,1,3,0.33
536,1978,56,7835,1,3,0.33
537,1978,11,1771,1,3,0.33
538,1978,36,4025,1,2,0.5
539,1978,48,4169,1,3,0.33
540,1978,8,4638,1,3,0.33
541,1978,73,3510,1,3,0.33
542,1978,64,3160,1,5,0.2
543,1978,6,5420,1,7,0.14
544,1978,42,7621,1,1,1.0
545,1978,60,6499,1,7,0.14
546,1978,60,6500,1,7,0.14
547,1978,56,7886,1,3,0.33
548,1978,63,2222,1,5,0.2
549,1978,51,5793,1,5,0.2
550,1978,11,1843,1,6,0.17
551,1978,42,7633,1,3,0.33
552,1982,51,5752,6,7,0.86
553,1982,87,6265,5,7,0.71
554,1982,64,3035,4,6,0.67
555,1982,11,1843,4,5,0.8
556,1982,47,2225,3,5,0.6
557,1982,11,1623,3,5,0.6
558,1982,36,3922,3,6,0.5
559,1982,42,7550,3,3,1.0
560,1982,5,6831,2,3,0.67
561,1982,6,5186,2,5,0.4
562,1982,11,3225,2,5,0.4
563,1982,42,7521,2,3,0.67
564,1982,87,6093,2,6,0.33
565,1982,44,1279,2,5,0.4
566,1982,36,3918,2,5,0.4
567,1982,47,2247,2,5,0.4
568,1982,87,6202,2,7,0.29
569,1982,6,5307,2,5,0.4
570,1982,42,7579,2,3,0.67
571,1982,86,544,2,2,1.0
572,1982,6,5350,2,5,0.4
573,1982,36,4012,2,5,0.4
574,1982,42,7586,2,3,0.67
575,1982,44,1379,2,4,0.5
576,1982,36,4025,2,4,0.5
577,1982,8,4638,2,5,0.4
578,1982,11,1801,2,5,0.4
579,1982,36,4042,2,7,0.29
580,1982,11,1805,2,5,0.4
581,1982,51,5772,2,7,0.29
582,1982,31,2413,2,3,0.67
583,1982,54,7901,1,3,0.33
584,1982,54,7902,1,3,0.33
585,1982,51,5520,1,3,0.33
586,1982,31,2284,1,3,0.33
587,1982,6,5163,1,5,0.2
588,1982,88,253,1,4,0.25
589,1982,88,254,1,5,0.2
590,1982,5,6835,1,2,0.5
591,1982,5,6839,1,3,0.33
592,1982,88,263,1,5,0.2
593,1982,36,3852,1,6,0.17
594,1982,87,6067,1,7,0.14
595,1982,64,3041,1,7,0.14
596,1982,51,5563,1,7,0.14
597,1982,88,276,1,5,0.2
598,1982,64,3045,1,4,0.25
599,1982,13,6579,1,5,0.2
600,1982,51,5595,1,7,0.14
601,1982,36,3881,1,3,0.33
602,1982,13,6584,1,5,0.2
603,1982,31,2314,1,2,0.5
604,1982,6,5240,1,4,0.25
605,1982,63,2154,1,3,0.33
606,1982,88,298,1,5,0.2
607,1982,36,3921,1,5,0.2
608,1982,51,5651,1,7,0.14
609,1982,85,3583,1,3,0.33
610,1982,8,4582,1,5,0.2
611,1982,87,6149,1,5,0.2
612,1982,31,2356,1,1,1.0
613,1982,34,4957,1,4,0.25
614,1982,11,1680,1,5,0.2
615,1982,8,4603,1,4,0.25
616,1982,64,3106,1,5,0.2
617,1982,63,2175,1,3,0.33
618,1982,41,219,1,2,0.5
619,1982,64,3110,1,7,0.14
620,1982,17,696,1,2,0.5
621,1982,34,4974,1,4,0.25
622,1982,5,6875,1,3,0.33
623,1982,64,3120,1,7,0.14
624,1982,44,1332,1,5,0.2
625,1982,14,930,1,3,0.33
626,1982,17,709,1,3,0.33
627,1982,31,2393,1,3,0.33
628,1982,17,717,1,3,0.33
629,1982,88,368,1,3,0.33
630,1982,11,1744,1,5,0.2
631,1982,85,3700,1,3,0.33
632,1982,8,4620,1,5,0.2
633,1982,29,848,1,3,0.33
634,1982,87,6256,1,3,0.33
635,1982,31,2401,1,3,0.33
636,1982,34,5062,1,4,0.25
637,1982,88,397,1,5,0.2
638,1982,64,3156,1,6,0.17
639,1982,36,4043,1,6,0.17
640,1982,31,2406,1,3,0.33
641,1982,59,5139,1,3,0.33
642,1982,64,3160,1,2,0.5
643,1982,42,7608,1,2,0.5
644,1982,42,7622,1,2,0.5
645,1982,36,4056,1,7,0.14
646,1982,13,6731,1,5,0.2
647,1982,42,7627,1,2,0.5
648,1982,59,5146,1,3,0.33
649,1982,34,5097,1,4,0.25
650,1982,41,245,1,3,0.33
651,1986,44,1325,6,5,1.2
652,1986,34,4880,5,5,1.0
653,1986,11,1569,5,5,1.0
654,1986,6,5307,5,7,0.71
655,1986,51,5520,4,4,1.0
656,1986,88,257,4,4,1.0
657,1986,26,4208,4,4,1.0
658,1986,6,5430,4,7,0.57
659,1986,13,6571,3,7,0.43
660,1986,13,6575,3,7,0.43
661,1986,26,4265,3,4,0.75
662,1986,87,6306,3,6,0.5
663,1986,87,6039,2,7,0.29
664,1986,6,5200,2,7,0.29
